neighbourhood_group,neighbourhood,latitude,longitude
Central Region,Bishan,1.36,103.8319
Central Region,Bukit Merah,1.27681,103.82381
Central Region,Bukit Timah,1.33235,103.78521
Central Region,Downtown Core,1.27663,103.84521
Central Region,Geylang,1.31698,103.89
Central Region,Kallang,1.3123,103.8568
Central Region,Marine Parade,1.30416,103.90076
Central Region,Museum,1.29947,103.84661
Central Region,Newton,1.31125,103.83816
Central Region,Novena,1.31327,103.8398
Central Region,Orchard,1.30036,103.83735
Central Region,Outram,1.2841,103.84253
Central Region,Queenstown,1.30816,103.79811
Central Region,River Valley,1.29345,103.83562
Central Region,Rochor,1.30109,103.85234
Central Region,Singapore River,1.28708,103.84444
Central Region,Southern Islands,1.253,103.82276
Central Region,Tanglin,1.31617,103.82694
Central Region,Toa Payoh,1.33967,103.86901
East Region,Tampines,1.34541,103.95712
East Region,Bedok,1.31313,103.91479
East Region,Changi,1.35343,103.96725
East Region,Pasir Ris,1.38055,103.94406
North Region,Central Water Catchment,1.35294,103.81951
North Region,Mandai,1.42571,103.82591
North Region,Sembawang,1.45277,103.81644
North Region,Sungei Kadut,1.40683,103.75585
North Region,Woodlands,1.44255,103.7958
North Region,Yishun,1.41482,103.83226
North-East Region,Ang Mo Kio,1.39088,103.85303
North-East Region,Hougang,1.36867,103.89905
North-East Region,Punggol,1.39963,103.9064
North-East Region,Sengkang,1.38777,103.89649
North-East Region,Serangoon,1.3628,103.86446
West Region,Bukit Batok,1.34126,103.75992
West Region,Bukit Panjang,1.3471,103.77532
West Region,Choa Chu Kang,1.38768,103.74476
West Region,Clementi,1.29361,103.76746
West Region,Jurong East,1.33316,103.72676
West Region,Jurong West,1.34135,103.71139
West Region,Pioneer,1.31201,103.67881
West Region,Tuas,1.318,103.64687
West Region,Western Water Catchment,1.40472,103.6637
